regex,nl
(.*[A-Za-z].*[A-Z].*.*)+,lines where there is one instance of a letter preceding a capital letter
([AEIOUaeiou]).*(([A-Z])&(dog)).*,lines with a vowel followed by a capital letter and the string 'dog'
(((dog)|([A-Z]))+).*([A-Za-z]).*,lines with the string 'dog' or capital letter before a letter
(.*)(([AEIOUaeiou])|(dog)),lines ending with the 'dog' or a vowel
((.)*).*([0-9]).*,The lines must have a character before a number at least once.
(([A-Za-z])|(dog)).*(.).*,Items with a letter or 'dog' preceding a character.
~(([A-Z])|([a-z])|(.)),"lines without a capital letter, a lower-case letter, or a character"
"((dog){4,}).*([0-9]).*",lines with the string 'dog' four times before a number
(dog).*(([a-z])&([A-Z])).*,lines with the string 'dog' before a lower-case letter and a capital letter in them
((dog)(.*)).*(~([A-Za-z])).*,lines starting with string 'dog' before a letter
(([A-Za-z]).*([a-z]).*)&((dog)(.*)),lines that have a combination starting with the word 'dog' and containing a letter preceding a lower-case letter
([a-z]).*((dog)|(truck)|([0-9])).*,"lines with a lower-case letter before either string 'dog', string 'truck', or number"
"((.*)([a-z])){2,}","lines ending with only a lower-case letter, 2 or more times"
(\b(.*)([0-9])\b)+,lines with words ending in a number
(([AEIOUaeiou])|(dog)|([A-Z])).*([0-9]).*,"liens with a vowel, string 'dog', or capital letter before a number"
(\b([0-9])&(.)\b)*,lines with words and a number with a character
"((dog)|(.)){3,}","lines with the string 'dog' or a character, 3 or more times in them"
(\b([0-9])|([A-Za-z])\b)(.*),lines starting in words with a number or letter
(([0-9])|([AEIOUaeiou]))+,lines with a number or vowel
\b([0-9])|([a-z])|([AEIOUaeiou])\b,"lines have words with a number, a lower-case letter, or a vowel"
([0-9]).*((dog)&([A-Z])).*,Items with a numeral preceding 'dog' and an upper case letter.
(([A-Z])&(.)).*(dog).*,Items with an uppe case letter and character preceding 'dog'.
~((.).*([a-z]).*),The lines that do not contain a character prior to a lower-case letter
~(([A-Za-z])&(dog.*truck.*)),lines without a letter or the string 'dog' but with the string 'truck'
(.*)(([0-9])|([AEIOUaeiou])),line ending with a number or vowel
~(([A-Za-z])*),lines without a letter
((.*)([A-Z])).*((dog)&(.)).*,lines ending with a capital before string 'dog' and character
\b((dog)*)|([a-z])\b,"lines with words with string 'dog', zero or more times or lower-case letter"
(dog).*((.)&(truck)&([a-z])).*,"lines with string 'dog' before a character, string 'truck', and lower-case letter"
~(([AEIOUaeiou])&(dog)&([A-Z])),"lines which are not having a vowel, not the string 'dog', and not a capital letter"
\b([0-9])&(~(dog))\b,lines with words and a number without string 'dog'
(dog).*(([a-z])&(truck)&(.)).*,"lines which contain the string 'dog' followed by a lower-case letter, a character, and the string 'truck'"
"(\b(.)(.*)\b){5,}",lines with words starting with 5 or more characters
(~(dog)).*(.).*,lines without only the string 'dog' followed by a character
(.*)(([0-9])|(.)),The lines ending with either a number or character
([a-z]).*((.)|([A-Z])).*,Items with a small letter preceding an upper case letter or character.
\b(dog)&(truck)&([A-Z])\b,"Items with  works containing 'dog', an upper case letter, and 'truck'."
(([A-Z])&(dog)&(.)).*(truck).*,"Items with a character, 'dog', and an upper case letter preceding 'truck'."
.*([a-z])&([A-Za-z])&([AEIOUaeiou]).*,Items with any letter.
(([A-Z])&(dog)&([AEIOUaeiou])).*(truck).*,"lines that contain a capital letter, the word 'dog', and a vowel followed by the word 'truck'"
\b([AEIOUaeiou])*\b,The lines that contain words words that also have a vowel at least one time
~(([AEIOUaeiou])&([A-Za-z])&(dog)),"lines not having vowel, not a letter, and not the string 'dog'"
(.).*((dog)&(truck)&([A-Z])).*,"lines with a character before string 'dog', string 'truck', and a capital"
([0-9]).*(.*[A-Z].*).*,lines with a number before a capital letter
"((.*)(([A-Z])|(dog))){2,}","lines which are ending with a capital letter or the string 'dog', 2 or more times"
"((.*)(([AEIOUaeiou]){7,})).*(.).*","lines which are ending with a vowel, 7 or more times before a character"
((dog)|(.)|([A-Z])).*(truck).*,"lines having string 'dog', a character, or a capital letter and string 'truck'"
\b((dog).*([A-Za-z]).*)|(.)\b,lines with words with string 'dog' before a letter or character
(((.).*(dog).*)|(truck))*,lines with zero or more of a character before string 'dog' or 'truck'
((.)&(dog)&([a-z])).*(truck).*,"Items with a character, 'dog', and small letter before 'truck'."
(.*)(([A-Za-z])|(.)),lines ending either with a letter or a character
"~(([A-Za-z]){3,})",lines not containing 3 or more letters
(~([A-Z])).*([AEIOUaeiou]).*,Items without an uppercase letter preceding a vowel.
(.*)([A-Za-z].*[A-Z].*),lines ending with letter followed by a capital
\b((.*)(.))+\b,Lines containing words that end with a character 1 or more times
"(.*~(dog).*){6,}","lines not containing string 'dog', 6 or more times"
(([A-Z])|([0-9])|(dog)).*(.).*,"lines having a character before a capital letter, a number, or the string 'dog'"
\b([A-Z].*[a-z].*)*\b,"lines with words with a capital followed by lower-case letter, zero or more times"
([A-Za-z].*[AEIOUaeiou].*).*([A-Z]).*,lines with a letter followed by vowel before a capital
~(.*(dog)&(truck).*),lines without the string 'dog' or 'truck'
"(([AEIOUaeiou])|([a-z])){4,}",lines containing 4 or more vowels or lower case letters.
((dog)&(truck)&([a-z])).*(.).*,line with the string 'dog' and 'truck' and lower-case letter before a character
((dog)&(truck)).*((.*)([a-z])).*,lines with the string 'dog' and 'truck' before ending with a lower case letter
.*(.*)([A-Z].*[A-Za-z].*).*,lines containing words ending with a capital letter before a letter
.*(.)&(dog)&([A-Z]).*,"lines with a character, the word ""dog"", and a capital letter"
(.*)(([AEIOUaeiou])|([A-Z])),lines ending with vowels or capitals
\b(.)|([A-Za-z])|([a-z])\b,lines containing a character or upper or lower case letter
(([AEIOUaeiou])(.*))*,Items beginning with a vowel.
([0-9].*..*)*,"lines with number followed by character, zero or more times"
(\b(dog)&([A-Za-z])\b)(.*),"lines stating with words, the string 'dog', and a letter"
(([A-Za-z])&([AEIOUaeiou])).*([a-z]).*,lines with a letter and a vowel before any lower-case letter
~(.*(.*)([A-Za-z]).*),lines not ending with a letter
(([A-Z])+).*(dog).*,lines containing only a capital letter at least once before the string 'dog' in them
((dog)*)&((truck)|([A-Z])),"lines with the string 'dog', any amount of times with the string 'truck' or a capital"
([A-Za-z]).*((.*)(([A-Z])*)).*,lines with a letter before an ending with a capital letter
"\b((.)|([0-9])){3,}\b",lines with words with 3 or more of a character or number
((.)*)|(dog.*[A-Za-z].*),lines with a zero or more characters or the string 'dog' before letter
"([AEIOUaeiou]).*((dog){2,}).*",lines with 2 or more of a vowel before string 'dog'
~(([A-Za-z]).*([0-9]).*),Multiple lines that do not contain a letter followed by a number
([A-Za-z]).*(([0-9])|([a-z])|([A-Z])).*,"lines having a letter before either a number, a lower-case letter, or a capital letter"
~(([A-Za-z])&(dog)&(.)),"Lines with no letter, no string 'dog', and not a character"
.*([A-Z])&(.)&(dog).*,"lines that have an uppercase letter, a character and the string 'dog'"
\b~([AEIOUaeiou])\b,lines with words not containing only a vowel
([a-z].*[A-Za-z].*)(.*),lines starting with a lower-case letter followed by a letter in them
.*(([0-9])|(dog))+.*,lines containing the string 'dog' once
.*(.)|([AEIOUaeiou]).*,Sentence: lines containing a character or vowel
\b(..*[0-9].*)(.*)\b,lines with words starting with characters followed by any number
(([a-z])&(dog)&(truck)).*(.).*,"lines having lower-case letter, string 'dog', and string 'truck' before character"
([a-z]).*((.)|(dog)).*,Lines with a lower case letter before any characters or the string 'dog'
(~([0-9]))&((dog)+),lines that do not contain a number or the string 'dog'
~((.)|([0-9])|(dog)),"lines without a character, a number, or the string 'dog'"
((dog)|(.*truck.*))+,lines with the string 'dog' with the string 'truck'
((([0-9])&(dog))|([A-Za-z]))*,lines with zero or mroe of a number and string 'dog' or letter
(.).*((dog)|([a-z])|([AEIOUaeiou])).*,"lines with a character before the string 'dog', lower-case letter, and vowel"
\b([A-Za-z])&([0-9])\b,lines consisting of words with a letter as well as a number
"([0-9]){4,}",Lines containing number 4 times.
.*([A-Za-z])&([AEIOUaeiou])&(.).*,"Items with a character, a vowel, or a letter."
([0-9]).*(([AEIOUaeiou])&(dog)).*,lines containing a number followed by a vowel and string 'dog'
~([A-Za-z].*[a-z].*),lines not having a letter followed by a lower-case letter in them
((.*)([AEIOUaeiou])).*([a-z]).*,Lines ending with vowel before lower case letter
\b([a-z])|(dog.*truck.*)\b,lines with words and lower-case letter or the string 'dog' before 'truck'
"((dog){3,})&(([a-z])|([A-Za-z]))","lines with string 'dog', 3 or more times and lower-case letter or letter"
(([A-Za-z])|(.)).*([A-Z]).*,lines with a letter or character before capital letter
(([A-Za-z]).*(.).*)&((dog)|(truck)),lines with a letter before character and string 'dog' or string 'truck'
((.*)([a-z])).*(.).*,lines that end with a lower-case letter followed by a character
([A-Z]).*(.*[a-z].*).*,lines with a capital letter before a lower-case letter
"(((dog)&([A-Z]))|(truck)){4,}",lines with 4 or more of the string 'dog' and capital letter or the string 'dog'
.*\b([0-9])+\b.*,lines with words and a number
.*((dog)+)&([a-z]).*,lines with the string 'dog' and lower-case letter
((dog)|(truck.*ring.*))(.*),lines starting in string 'dog' or 'truck' before 'ring'
\b(.*[A-Za-z].*).*([0-9]).*\b,lines containing a letter before a number
(.*)(\b([AEIOUaeiou])*\b),lines ending with words or without a vowel.
([0-9].*dog.*).*(truck).*,Items with a numeral preceding 'dog' preceding 'truck'.
(.).*(([A-Z])|(dog)|(truck)).*,"lines containing a capital letter or the word ""dog"" or ""truck"", followed by a character"
~(([A-Z])&([A-Za-z])&(dog)),"The lines that do not have a capital letter, lower case letter, or the string 'dog'"
\b([AEIOUaeiou])&(.)&([A-Za-z])\b,"lines with words,vowels,characters, and a letter"
\b(dog)|([a-z])|([0-9])\b,"lines containing the string 'dog', a lower-case letter, or a number"
(([A-Z])*).*(.).*,lines with zero or more capital letters before a character
.*(([a-z])|(dog))&(.).*,lines with a lower-case letter or string 'dog' and character
((dog)(.*)).*((truck)*).*,lines where the string 'dog' is not followed by the string 'truck'
((dog)|(truck)|([A-Z])).*([a-z]).*,"lines with either 'dog', 'truck', or a capital letter before lower-case letter"
"((.*)(dog)).*(([A-Z]){4,}).*",lines ending in 4 or more of string 'dog' before capital letter
(dog).*(truck.*ring.*).*,lines with the string 'dog' before string 'truck' followed by string 'ring'
(~(.)).*([0-9]).*,lines do not contain a character before a number
([AEIOUaeiou]).*((.)|(dog)).*,lines with a vowel present which precedes either the 'dog' string or a character
"(dog.*[0-9].*){7,}",Items with 'dog' preceding a numeral at least seven times.
((dog)(.*)).*([A-Z]).*,lines starting with the string 'dog' then capital letter
~((.*)(dog)),lines not ending with string 'dog'
~(.*([0-9])|(.).*),lines not containing a number or character
"([A-Za-z].*[a-z].*){4,}",lines with 4 or more of a letter before a lower-case letter
"((.*)(.*[AEIOUaeiou].*)){2,}",lines ending with a vowel 2 times
((.*)(dog)).*((truck)|(ring)|([0-9])).*,"lines ending with string 'dog' before either string 'truck', string 'ring', or number"
~(\b(.)(.*)\b),Lines not being words starting with any character
([A-Za-z]).*(([a-z])&(dog)).*,lines with a lower-case letter and 'dog'
([AEIOUaeiou]).*(((dog)|(.))*).*,lines that have a vowel followed by 'dog' or no or more characters
(dog.*[A-Z].*)&((.*)(truck)),lines that finish with the string 'truck' and contain the string 'dog' preceding a capital letter
((dog)(.*)).*(([A-Z])+).*,lines that start with the string 'dog' before a capital letter
((dog)|((.*)([A-Z])))(.*),lines starting in the string 'dog' or ending in capital letter
"((dog.*[A-Za-z].*)(.*)){6,}",lines starting in 6 or more of the string 'dog' before a letter
"([a-z].*[AEIOUaeiou].*){3,}","lines with a lower-case letter followed by a vowel, 3 or more times in it"
(.*dog.*)&((.*)([A-Za-z])),lines with the string 'dog' ending in letter
(..*dog.*)(.*),Items beginning with a character preceded by 'dog'.
([AEIOUaeiou])*,lines containing zero or more vowels
\b([A-Za-z])&([AEIOUaeiou])&([a-z])\b,Items with words containing any letter.
((dog)(.*))&(truck.*ring.*),"Lines starting with the string 'dog', the string 'truck' followed by the string 'ring'."
(([A-Z])|(dog))*,lines with a capital letter or the string 'dog'
"(.).*(([A-Za-z]){4,}).*","lines with character before letter, 4 or more times"
.*([A-Za-z])|([a-z]).*,Lines with at least one letter
.*\b~([0-9])\b.*,lines which are containing words with not a number
"\b~((.){5,})\b",lines with five or more words without characters
(([AEIOUaeiou])*)|(([A-Za-z]).*([A-Z]).*),"lines with a vowel, then a letter before a capital letter"
\b((dog)|(truck)|(ring))&([A-Za-z])\b,"lines with either 'dog', 'truck' or 'ring', and a letter"
([AEIOUaeiou]).*((.)&([A-Z])).*,lines with a vowel before character and a capital letter
~((dog)(.*)),lines not starting in string 'dog'
(([A-Za-z])*).*([0-9]).*,lines with a letter occuring zero or more times before a number
(([a-z])|([AEIOUaeiou])|([A-Z])).*(.).*,"lines containing a character preceded by a lowercase letter, vowel or capital letter"
((.)&([A-Z])).*(dog).*,lines that contain a character followed by a capital letter and 'dog'
\b([A-Za-z])&(.)&([a-z])\b,"lines containing a lower-case letter, a character, and a letter"
(.).*(~(dog)).*,lines with character before not the string 'dog'
((.*)(dog)).*([0-9]).*,lines ending with 'dog' before number
.*(dog).*([A-Z]).*.*,lines containing containing only string 'dog' before capital letter
(([0-9])+).*((dog)|(.)).*,lines with the string 'dog' or a character after a number
.*([a-z])|([AEIOUaeiou])|(dog).*,"lines with a lower-case letter, vowel, or string 'dog'"
~([0-9]),lines which don't contain just a number
((dog)+)|((truck)&([0-9])),lines with at least one 'dog' or 'truck' and a number
"([0-9].*..*){4,}",lines with 4 or more of a number before a character
\b([A-Za-z])&([AEIOUaeiou])&(.)\b,"lines with words and a letter, vowel, and character"
(dog.*[AEIOUaeiou].*).*([A-Za-z]).*,lines with the string 'dog' preceding a vowel followed by a letter
(dog).*([AEIOUaeiou].*truck.*).*,lines with the string 'dog' before a vowel then string 'truck'
"(.*)(([AEIOUaeiou].*[0-9].*){4,})",lines ending in 4 or more of a vowel before number
[a-z].*dog.*,Items with small letter preceding 'dog'.
.*([a-z])|([A-Z])|(dog).*,"lines containing at least one of the following: a lower-case letter, a capital letter, or the string 'dog'"
(dog).*((truck)|([a-z])|(.)).*,"lines with the string 'truck', a lower-case letter, or a character after the string 'dog'"
"(([A-Za-z])|([a-z])){2,}","Items with a small letter or letter, at least twice."
\b([A-Z])&([0-9])&(dog)\b,"lines with words with a capital letter, a number, and the string 'dog' in it"
(.).*(([A-Z])*).*,zero or more occurrences of a character coming before a capital letter in a line
\b([0-9]).*(([AEIOUaeiou])*).*\b,lines with a number before a vowel
"(([a-z]){4,}).*([0-9]).*",lines with 4 lower-case letters before a number
~(\bdog.*[a-z].*\b),lines that do not have words with the word 'dog' preceding a lower-case letter
".*((dog){7,})|([A-Za-z]).*","lines that the word 'dog' seven or more times, or a letter"
\b(.)&(dog)\b,lines with words that contain only a character and the string 'dog' in them
"(\bdog\b){2,}","lines with words that contain only the string 'dog', 2 or more times in them"
~((dog)|(.)|(truck)),lines without the string 'dog' or truck' or a character
(.*)((([0-9])+)|([A-Z])),lines ending in number or capital letter
(([AEIOUaeiou])|(.*..*))*,lines with a vowel with a character
~(([A-Z])|([AEIOUaeiou])|(dog)),"lines having no capital letter, a vowel, or the string 'dog'"
.*(.).*([AEIOUaeiou]).*.*,lines with a vowel preceeded by a character
(([a-z])|([A-Za-z])).*([A-Z]).*,Lines with lower case letter or letter before capital letter
"([a-z].*[0-9].*){5,}",Items with a small letter preceding a numeral at least five times.
\b([a-z])&(dog)&([0-9])\b,"lines with words, lower-case letter, the string 'dog', and a number"
((.)&([0-9])&(dog)).*(truck).*,"Lines having character, number. and the string 'dog' before the string 'truck'"
\b([A-Z]).*((dog)+).*\b,lines with words and a capital letter before the string 'dog'
(\b([AEIOUaeiou])|([A-Z])\b)+,lines with words and a vowel or capital letter
"((([a-z]){5,})|(dog))(.*)","lines starting with a small letter 5x or more, or ""dog"""
(.*)(.*[AEIOUaeiou].*..*.*),lines ending with a vowel followed by a character
(.*)(([a-z].*dog.*)*),lines that end with a lower-case letter and not followed by  the string 'dog'
"(([a-z])|([A-Z])){3,}","lines with a lower-case letter or a capital letter, 3 or more times in them"
(~(dog)).*(.*truck.*).*,"lines without the string 'dog', but with the string 'truck'"
([A-Z]).*([a-z].*[AEIOUaeiou].*).*,"lines containing a capital letter, a lower-case letter, and a vowel"
~((.*)((dog)*)),lines not ending in zero or more of the string 'dog'
(.).*(([0-9])|(dog)).*,lines with a character before number or string 'dog'
"((dog){4,}).*([AEIOUaeiou]).*","lines the string 'dog', 4 times before vowel"
([a-z]).*((.*)([A-Za-z])).*,Items with a small letter ending in a letter.
(dog).*([a-z]).*,lines containing the string 'dog' followed by a lower-case letter
.*([a-z])|([A-Za-z])|(dog).*,"lines which contain either a lower-case letter, a letter, or the string 'dog'"
"(([AEIOUaeiou]){5,}).*([a-z]).*",lines with a lower case letter after 5 vowels
.*(dog)&([0-9])&([A-Z]).*,"lines with the string 'dog', a number, and a capital letter"
\b(dog)|([0-9])|([a-z])\b,"lines with words with either string 'dog', number, or a lower-case letter"
(dog).*((truck)|([A-Za-z])).*,lines with the string 'dog' before 'truck' or a letter
"(dog).*(([A-Za-z]){3,}).*",lines containing the string 'dog' before a letter at least 3 times
([0-9]).*(.*[AEIOUaeiou].*).*,lines with a number before vowel
\b([0-9])|([a-z])|(.)\b,"lines with words with either a number, lower-case letter, or character"
"\b((dog){3,})&(truck)\b",lines with words and 3 or more of the string 'dog' with string 'truck'
"(.*)((([AEIOUaeiou])|([a-z])){6,})","lines that end with a vowel or a lower-case letter, at least 6 times"
"(.*dog.*){3,}",lines with only 3 or more of the string 'dog'
(.*[a-z].*)&(([0-9])*),lines with zero or more of a lower-case letter and number
((.)*).*([a-z]).*,"lower case letter without a character, zero or additional times following"
((dog)&(truck)).*([A-Z]).*,lines with the string 'dog' and 'truck' before a capital letter
(dog.*..*).*(.*[A-Z].*).*,Items with 'dog' preceding a character preceding an upper case letter.
~((dog)|([0-9])|([a-z])),"Items without 'dog', a small letter, or a numeral."
~((([A-Za-z])|(dog))(.*)),lines not starting with a letter or string 'dog'
"(([A-Za-z])|([0-9])){3,}",lines containing either a number or a letter at least three times
((dog).*(.).*)|((truck)&([0-9])),lines with the string 'dog' before a character or string 'truck' before number
"(\b(dog)|([a-z])\b){4,}",lines with words and 4 or more of the string 'dog' or lower-case letter
\b([A-Za-z])(.*)\b,lines with words with a letter
~((.)&([A-Z])&(dog)),"lines which are not having a character, not a capital letter, and not the string 'dog'"
.*([A-Za-z])&([0-9])&([AEIOUaeiou]).*,"lines with a letter, number, or vowel"
((dog)|(truck)|([A-Za-z])).*([a-z]).*,"lines containing a letter followed by a lower-case letter, the string'dog', or the string 'truck'"
~(([a-z])|([AEIOUaeiou])|(dog)),"lines without a lower-case letter, vowel, or string 'dog'"
~(([a-z])|([AEIOUaeiou])|(dog)),"lines not with a lower-case letter, vowel, or the string ""dog."""
\b(([a-z]).*(dog).*)&(truck)\b,lines containing words having a lower-case letter followed by the string 'dog' as well as the string 'truck'
((dog)&([a-z])).*([0-9]).*,lines containing the string 'dog' and a lower-case letter followed by a number
"(~([0-9]))&((.){3,})",lines with 3 or less of a number and character
[A-Z].*[AEIOUaeiou].*,lines containing a capital letter followed by a vowel
(([0-9])&(dog)&([A-Z])).*([AEIOUaeiou]).*,lines that have a number and the 'dog' string and also an upper-case letter coming before a vowel
"([A-Z].*..*){2,}",Items with an upper case letter preceding a character at least twice.
([A-Z]).*((.)|([a-z])|(dog)).*,"Items with an upper case letter preceding either 'dog', a small letter, or a character."
\b(dog)&([A-Z])&([A-Za-z])\b,"lines with words and the string 'dog', a capital letter"
"(([A-Za-z]){3,}).*(.).*",lines with a letter 3 times before a character
.*([0-9])&(dog)&([AEIOUaeiou]).*,"lines with a number, string 'dog', and vowel"
(([AEIOUaeiou])+)&((dog)|(truck)|(ring)),"lines that have a vowel and either one of these words:  'dog', 'truck', or 'ring'"
\b~((.).*([0-9]).*)\b,lines with words that don't have character before number
(dog).*(([0-9])&([a-z])).*,the string 'dog' appears before a number and a lower-case letter in the lines
"(dog).*(([A-Za-z]){7,}).*",lines with 7 or more of the string 'dog' before a letter
"~(.*([0-9]){4,}.*)",Lines without 4 or more times a number
"~((..*dog.*){3,})",lines without character before 3 or more of the string 'dog'
((dog.*truck.*)*)(.*),Lines starting with 'dog' followed by zero or more times 'truck'
.*([a-z])&([A-Z])&(dog).*,Items with any letter and 'dog'
[0-9].*..*,lines containing a numeral succeeded with a type of character
"(([A-Z])|([0-9])){6,}",lines containing a number or a capital letter at least 6 times
((.)(.*)).*([a-z]).*,lines starting with a character before lower-case letter
\b([A-Za-z]).*(dog).*\b,lines with words with a letter before the string 'dog' in them
\b((.*)([a-z]))|([A-Za-z])\b,lines with words with ending with lower-case letter or letter
~(((dog)*)&([A-Za-z])),lines without the string 'dog'
(([0-9])|(dog))(.*),lines starting with a number or 'dog'
\b(.*)([0-9].*dog.*)\b,lines with words ending with number followed by string 'dog'
(([0-9])(.*)).*(.*dog.*).*,lines starting with a number before string 'dog'
~(([a-z])&([A-Z])&(.)),"lines do not contain a lower-case letter, nor a capital letter, nor a character"
(dog).*((([AEIOUaeiou])|(truck))+).*,lines with the string 'dog' before a vowel or string 'truck'
(dog).*((([AEIOUaeiou])|(truck))+).*,the lines with the string 'truck; at least once or the string 'dog before a vowel
(~(dog))|((.*)([A-Z])),Lines that don't contain the string 'dog'  or end with a capital letter.
"(([AEIOUaeiou]){5,}).*([A-Z]).*",lines with a 5 or more vowels before a capital letter
([A-Z].*[AEIOUaeiou].*)|(([0-9]).*(.).*),A capital letter followed by a vowel or a number before a character appears in the lines
(([A-Za-z])|([AEIOUaeiou]))(.*),lines beginning with either a vowel or a letter
((dog)&([A-Za-z])&([A-Z])).*(truck).*,"Items with 'dog', letter, and an upper case letter preceding 'truck'."
\b[AEIOUaeiou].*[a-z].*\b,"Lines where a small-case alphabet character comes after a word string containing a, e, i, o or u"
"(([a-z]){7,})(.*)",starts with lowercase letter 7 or more times
~(\b([AEIOUaeiou]).*(dog).*\b),lines without words having a vowel before the string 'dog'
(([A-Z])|(dog)|(truck)).*([AEIOUaeiou]).*,lines with a capital letter or the string 'dog' or 'truck' before a vowel
\b([A-Z])|([a-z])|([A-Za-z])\b,"lines with words having a capital letter, any letter or a lower-case letter"
"((.)|(([AEIOUaeiou]){7,}))(.*)",lines starting with 7 or more characters or vowels
(.*)([a-z].*..*),lines that have a character before a lower-case letter
\b..*[0-9].*\b,lines with a character followed by a number
.*(.)|(dog).*,lines containing 'dog' or a character
(([A-Za-z])+)|(~([a-z])),lines with a letter or not a lower-case letter
((.*)(dog.*[0-9].*)).*([A-Z]).*,lines ending in string 'dog' before a number then capital letter
"\b(.*..*){4,}\b",lines with words and 4 or more characters
((.*)([A-Za-z])).*(([a-z])&(dog)).*,lines ending in lower-case letter after a letter and the string 'dog'
(([0-9])|([A-Z])).*(.).*,lines with number or capital letter before character
\b(dog).*(.).*\b,lines with words and 'dog' before a character
.*(([a-z]).*(.).*)&(dog).*,lines which are containing a lower-case letter before a character and the string 'dog'
"([A-Z]).*(([0-9]){3,}).*",lines with 3 or more of a capital letter before number
(([A-Z])&(dog)).*((.)|([a-z])).*,lines having capital letters and the string 'dog' before characters or a lower-case letter
"(([AEIOUaeiou])|(.)){3,}",lines with 3 or more of a vowel or character
\b(dog)&(.)&([AEIOUaeiou])\b,"lines with words with the string 'dog', a character, and a vowel in them"
((dog).*([AEIOUaeiou]).*)&((truck)+),lines with the string 'dog' before a vowel and string 'truck'
"((dog){2,})|((.*)(.))",lines with 2 or more of the string 'dog' ending in a character
(([a-z])|([A-Za-z])|(dog)).*(truck).*,Items with a letter or 'dog' preceding 'truck'.
.,lines with only a character
"((.){4,}).*([0-9]).*",Items with a character at least four times preceding a number.
~((.)|([A-Za-z])|(dog)),"Items without 'dog', a letter, or a character."
(.*)(.*(dog)&(truck).*),lines with the strings 'dog' and 'truck'
(dog).*(.*[A-Z].*).*,lines with the string
([A-Za-z].*dog.*).*([A-Z]).*,letters in lines followed by the string 'dog' before a capital letter
.*dog.*[A-Z].*.*,lines containing an uppercase letter preceded by the string 'dog'
".*\b(dog){4,}\b.*",lines that have the word 'dog' at least four times
~(([AEIOUaeiou])&(dog)),lines not containing a vowel or the string 'dog'
\b.*(dog)+.*\b,lines with words that contain the string 'dog' occurring at least once
([0-9]).*(dog.*[A-Za-z].*).*,lines containing a number before the string 'dog' preceding a letter
"(\b(.*)(.)\b){5,}",lines with words ending with a character at least 5 times
"((.*)(.*..*)){6,}","lines ending with a character, 6 or more times"
(([A-Za-z])|(dog))+,lines with a letter or 'dog'
(~(.))|(.*dog.*),lines without not having a character with string 'dog'
(([AEIOUaeiou])|([A-Za-z])).*([a-z]).*,lines with a vowel or lower-case letter
"(.*(dog)|([AEIOUaeiou]).*){4,}",lines where either the string 'dog' or a vowel appear 4 or more times
((.*)(dog))|((truck).*([0-9]).*),lines ending in the string 'dog' or 'truck' before a number
~((dog).*((truck)&([AEIOUaeiou])).*),lines without the string 'dog' before 'truck' not being a vowel
\b.*(dog)&([A-Za-z]).*\b,lines with words with the string 'dog' and a letter
(([0-9])|([A-Z]))+,lines with a number or a capital letter occurring at least once
(([a-z])|([AEIOUaeiou]))+,lines with a lower case letter or vowel
.*(.)&([0-9]).*,lines with a character and a number
(dog).*(([0-9])&([AEIOUaeiou])).*,"lines containing the string ""dog"" followed by a number and a vowel"
\b(.*[a-z].*)|(dog)\b,lines with lower-case letters or 'dog'
((dog)(.*)).*(truck).*,"lines starting with the string 'dog', followed by the string 'truck'"
([A-Z]).*(.*[A-Za-z].*).*,lines with a capital letter before containing a letter in them
\b(~(dog))&([a-z])\b,lines with words that don't string 'dog' and lower-case letter
~(([0-9])&(.)&([AEIOUaeiou])),"lines without a number, or a character and not being a vowel"
(([a-z])|([A-Z])|([0-9])).*([AEIOUaeiou]).*,"lines having either a letter or a number, followed by a vowel"
\b(([0-9])+)&(dog)\b,lines with words with a number and string 'dog'
\b(([0-9])+)&(dog)\b,"lines that contain words, the string ""dog,"" and at least one number."
.*([a-z].*dog.*).*(truck).*.*,"lines containing the string 'truck', a lower-case letter, then the string 'dog'"
~((dog)|(.)),Lines containing only a character or without the string 'dog'
(([A-Za-z])(.*))|(.*[a-z].*),lines starting in a letter or with a lower-case leter
([A-Z].*dog.*)+,lines containing 'dog' after a capital letter
(([AEIOUaeiou])|(dog))*,lines that contain either a vowel or the string 'dog' zero or more times
((dog)|([a-z])|([AEIOUaeiou])).*([A-Za-z]).*,"lines with either the string 'dog', a lower-case letter, or a vowel followed by a letter"
((dog)|([a-z])|([AEIOUaeiou])).*([A-Za-z]).*,"lines with dog, lower-case letters, or vowels before a letter"
(([A-Z])(.*)).*(.).*,Items beginnig with an upper case letter preceding a character.
"\b([AEIOUaeiou]){5,}\b",lines with 5 or more of words with a vowel
~((dog)|([A-Z])|([0-9])),"lines which are not having the string 'dog', a capital letter, or a number"
~((dog)|([A-Z])|([0-9])),"lines without the string ""dog', an uppercase letter, or a number"
(([a-z])|(dog)|(truck)).*(ring).*,"lines having either a lower-case letter, the string 'dog', or the string 'truck' before the string 'ring' in them"
(([a-z])+)|((dog)|(.)|(truck)),"Lines with lower case letter at least once or either the string 'dog', a character, or the string 'truck'"
((dog)|(([0-9]).*(truck).*))*,"lines with ""dog"", or a number before ""truck"""
.*(.)|([A-Za-z])|(dog).*,"lines containing either a character, letter, or string 'dog'"
(.*)(\b(dog)+\b),lines ending with words having the string 'dog' at least 1 time
(([a-z])*).*([A-Z]).*,lines with only zero or more lower-case letters
(([A-Za-z])+).*(~([0-9])).*,lines with a letter before a number
([A-Z].*dog.*)&(([A-Za-z])*),lines with a capital letter followed by the string 'dog' and a letter
